theorem,title,final_independent_evidence_status,evidence_mode,scope_or_strength_note,controlling_review_ref
T1,Simultaneous diagonal coordinates,INDEPENDENT_EXACT,BLIND_CORE,Exact diagonal-square reconstruction,driver_reviews/PRIME_FUSION_15_THEOREM_FINAL_EVIDENCE_RECONCILIATION_20260824.md@e19ee6713be002dd9c346261173d39fd8d54f9dc
T2,Exact common-divisor law,INDEPENDENT_EXACT,BLIND_CORE,Exact gcd law,driver_reviews/PRIME_FUSION_15_THEOREM_FINAL_EVIDENCE_RECONCILIATION_20260824.md@e19ee6713be002dd9c346261173d39fd8d54f9dc
T3,Fusion algebra and discriminant 12,INDEPENDENT_EXACT_STATEMENT_EXPOSED,STATEMENT_EXPOSED_PHASE_EXTENSION,Integral product algebra/discriminant exact; omega convention explicit,driver_reviews/PRIME_FUSION_PHASE_EXTENSION_TARGETED_VERIFICATION_DRIVER_REVIEW_20260823.md@ffaf098cb612f8a54f1d49df33484d3d36019a92
T4,Primitive pointed quotient collapse,INDEPENDENT_EXACT_STATEMENT_EXPOSED,STATEMENT_EXPOSED_FINAL_EXACT_CLOSURE,"Exact quotient maps/kernels; SNF cyclicity iff gcd(a,b)=1 retained as note",driver_reviews/PRIME_FUSION_T4_T7_T8_FINAL_EXACT_CLOSURE_DRIVER_REVIEW_20260824.md@ed016687bcd2d75957041ce820e335678aeb1f53
T5,Exact channel recovery,INDEPENDENT_EQUIVALENT_EXACT,BLIND_CORE_EQUIVALENT,Sign-conjugate marked-quotient recovery is equivalent exact evidence,driver_reviews/PRIME_FUSION_INDEPENDENT_REPLICATION_DRIVER_REVIEW_20260823.md@be07e5d9af0ca428ae74c2807fdde586d0d665a3
T6,Reciprocal-trace Boolean collapse,INDEPENDENT_EXACT_STATEMENT_EXPOSED,STATEMENT_EXPOSED_PHASE_EXTENSION,Automatic-unit and universal idempotent split retained as note,driver_reviews/PRIME_FUSION_PHASE_EXTENSION_TARGETED_VERIFICATION_DRIVER_REVIEW_20260823.md@ffaf098cb612f8a54f1d49df33484d3d36019a92
T7,"Unordered cell reconstruction from (H,e)",INDEPENDENT_EXACT_STATEMENT_EXPOSED,STATEMENT_EXPOSED_FINAL_EXACT_CLOSURE,Exact reconstruction; redundant idempotent hypotheses/minimal positivity noted,driver_reviews/PRIME_FUSION_T4_T7_T8_FINAL_EXACT_CLOSURE_DRIVER_REVIEW_20260824.md@ed016687bcd2d75957041ce820e335678aeb1f53
T8,Dual-prime finite-quotient characterization,INDEPENDENT_EXACT_STATEMENT_EXPOSED,STATEMENT_EXPOSED_FINAL_EXACT_CLOSURE,Exact equivalence; abstract product vs canonical channel labels distinguished,driver_reviews/PRIME_FUSION_T4_T7_T8_FINAL_EXACT_CLOSURE_DRIVER_REVIEW_20260824.md@ed016687bcd2d75957041ce820e335678aeb1f53
T9,Prime residue classes and reciprocity lock,INDEPENDENT_EXACT,BLIND_CORE,Exact mod-8/mod-12 and Legendre-symbol lock,driver_reviews/PRIME_FUSION_INDEPENDENT_REPLICATION_DRIVER_REVIEW_20260823.md@be07e5d9af0ca428ae74c2807fdde586d0d665a3
T10,Channel-oriented four mixed phases and order-12 orbit,INDEPENDENT_EXACT_AFTER_SCOPE_REPAIR,STATEMENT_EXPOSED_PHASE_EXTENSION_SCOPE_REPAIRED,"Exact only for M_{p,q}; H=91 pressure witness retained; not all F-roots",driver_reviews/PRIME_FUSION_15_THEOREM_FINAL_EVIDENCE_RECONCILIATION_20260824.md@e19ee6713be002dd9c346261173d39fd8d54f9dc
T11,Sixth-power phase-blind channel readout,INDEPENDENT_EXACT_STATEMENT_EXPOSED,STATEMENT_EXPOSED_PHASE_EXTENSION,Source dual-prime law exact; composite parity extension retained as note,driver_reviews/PRIME_FUSION_PHASE_EXTENSION_TARGETED_VERIFICATION_DRIVER_REVIEW_20260823.md@ffaf098cb612f8a54f1d49df33484d3d36019a92
T12,Local prime-direction classification,INDEPENDENT_EXACT,BLIND_CORE,Exact local prime-direction classes,driver_reviews/PRIME_FUSION_INDEPENDENT_REPLICATION_DRIVER_REVIEW_20260823.md@be07e5d9af0ca428ae74c2807fdde586d0d665a3
T13,Fixed-corridor local root count,INDEPENDENT_EXACT,BLIND_CORE,Exact fixed-corridor root/survivor counts,driver_reviews/PRIME_FUSION_INDEPENDENT_REPLICATION_DRIVER_REVIEW_20260823.md@be07e5d9af0ca428ae74c2807fdde586d0d665a3
T14,Sector-local nearest-neighbor matching theorem,INDEPENDENT_EXACT,BLIND_CORE,Exact sector-local matching bound with sharp/small-prime controls,driver_reviews/PRIME_FUSION_INDEPENDENT_REPLICATION_DRIVER_REVIEW_20260823.md@be07e5d9af0ca428ae74c2807fdde586d0d665a3
T15,Finite-sieve corridor mean preservation,INDEPENDENT_EXACT_STRONGER_FORM,BLIND_CORE_STRONGER_FORM,All-function unimodular slice identity independently proved; source law special case,driver_reviews/PRIME_FUSION_INDEPENDENT_REPLICATION_DRIVER_REVIEW_20260823.md@be07e5d9af0ca428ae74c2807fdde586d0d665a3
