theorem,title,frozen_scope,evidence_type,lean_status,primary_attribution_class,nearest_classical_object_or_result,strongest_citations,project_specific_element,confidence,publication_safe_wording,forbidden_or_unsupported_wording
T1,Simultaneous diagonal coordinates,"u=a+b; v=a-b; 2N=u^2+v^2; 4C=u^2+3v^2; u^2=3N-2C; v^2=2C-N; hence C<N<2C in the retained interior scope",INDEPENDENT_EXACT,LEAN_F1_MAIN,CLASSICAL_DIRECT_COROLLARY,"linear change of variables for the Gaussian and Eisenstein norm forms / binary quadratic forms","Cox2013; IrelandRosen1990; Serre1973","simultaneous two-channel presentation in Prime Fusion coordinates",HIGH,"The package uses a simultaneous diagonal coordinate presentation of two classical quadratic norm forms.","new diagonalization theorem; historically novel quadratic-form identity"
T2,Exact common-divisor law,"gcd(N(a,b),C(a,b))=gcd(a,b)^2; primitive cells therefore have coprime channels",INDEPENDENT_EXACT,LEAN_F1_MAIN,CLASSICAL_DIRECT_COROLLARY,"elementary gcd scaling plus coprimality of the two primitive norm values","IrelandRosen1990; Cox2013","pairing the two channel norms on the same coefficient pair",HIGH,"For the chosen pair of norm forms, primitivity gives an exact coprimality law by an elementary divisibility argument.","new gcd theory; novel reciprocity law"
T3,Fusion algebra and discriminant 12,"f=Phi_4=X^2+1; g=Phi_3=X^2+X+1; F=fg; Z[X]/(F)≅Z[i]×Z[omega]; Disc(F)=12; component norms are N and C",INDEPENDENT_EXACT_STATEMENT_EXPOSED,"LEAN_F1_MAIN_PARTIAL: comaximal/product-CRT kernel formalized; discriminant-12 and named Z[i]/Z[omega] packaging not formalized",CLASSICAL_COMPOSITION,"cyclotomic polynomials Phi_4/Phi_3; polynomial CRT; cyclotomic resultants; discriminant product formula","Apostol1970; Washington1997; StacksCRT; IrelandRosen1990","one product algebra used as a two-channel interface",HIGH,"The fusion algebra is a compact CRT packaging of the classical Phi_4 and Phi_3 factors; its discriminant is 12.","new cyclotomic algebra; Lean verifies the entire T3 row"
T4,Primitive pointed quotient collapse,"for primitive (a,b), R/(a+b xi)≅Z/NZ×Z/CZ≅Z/HZ; r≡-a b^{-1} mod H and F(r)≡0 mod H",INDEPENDENT_EXACT_STATEMENT_EXPOSED,"LEAN_F1_MAIN_CORE; frozen SNF strengthening note is outside F1 hard scope",CLASSICAL_COMPOSITION,"principal quotients in Gaussian/Eisenstein integer lattices; Smith/Hermite normal form; integer CRT","StacksCRT; Cox2013; IrelandRosen1990","the single pointed residue r couples the two quotient channels",HIGH,"The pointed quotient is obtained by combining standard principal-quotient lattice structure with CRT under primitivity.","new quotient-ring classification; factoring algorithm"
T5,Exact channel recovery,"N=gcd(H,r^2+1); C=gcd(H,r^2+r+1) for the pointed residue",INDEPENDENT_EQUIVALENT_EXACT,LEAN_F1_MAIN,CLASSICAL_DIRECT_COROLLARY,"CRT factor isolation and Bezout/no-leakage for coprime polynomial factors at integer arguments","StacksCRT; Apostol1970","readout of the two canonical channels from one pointed residue",HIGH,"The two channel moduli are recovered by elementary CRT/gcd isolation from the pointed residue.","novel factorization method; efficient factoring speedup"
T6,Reciprocal-trace Boolean collapse,"for unit/root r, T=r+r^{-1}; F(r)/r^2=T^2+T; e=-(r+r^{-1}) is idempotent; gcd(e,H) and gcd(e-1,H) split the channels",INDEPENDENT_EXACT_STATEMENT_EXPOSED,LEAN_F1_MAIN,PROJECT_SPECIFIC_REPACKAGING,"standard reciprocal-polynomial substitution x+x^{-1}; CRT idempotents and product-ring decomposition","StacksCRT; Washington1997; LidlNiederreiter1997","Boolean/idempotent channel language and reciprocal-trace readout",HIGH,"A standard reciprocal substitution turns the fused root equation into an idempotent channel selector; Prime Fusion packages this as a Boolean readout.","new Boolean algebra theorem; novel reciprocal-polynomial method"
T7,"Unordered cell reconstruction from (H,e)","split N=gcd(e,H), C=gcd(e-1,H); U=3N-2C and V=2C-N must be squares; then {a,b}={(sqrt(U)+sqrt(V))/2,(sqrt(U)-sqrt(V))/2}",INDEPENDENT_EXACT_STATEMENT_EXPOSED,NOT_YET_LEAN_FORMALIZED,PROJECT_SPECIFIC_REPACKAGING,"elementary inversion of two binary quadratic-form values after a CRT idempotent split","Serre1973; Cox2013; StacksCRT","reconstruction interface from the fused pair (H,e) rather than from (N,C) directly",HIGH,"The original unordered coefficient pair can be reconstructed from the channel split by the elementary square identities of T1.","new representation theorem for quadratic forms; Lean-verified reconstruction"
T8,Dual-prime finite-quotient characterization,"within retained primitive interior scope, N and C prime iff the quotient has canonically labelled F_p×F_q shape; equivalently H=NC is square-free semiprime with channel labels retained",INDEPENDENT_EXACT_STATEMENT_EXPOSED,NOT_YET_LEAN_FORMALIZED,CLASSICAL_COMPOSITION,"CRT decomposition of square-free residue rings into finite fields plus the two fixed channel projections","StacksCRT; LidlNiederreiter1997","canonical Gaussian/Eisenstein labels attached to the two factors",HIGH,"Dual primality is equivalently expressed by a two-field quotient with channel labels; this is a structural reformulation, not an algorithm.","new finite-field classification; factoring speedup; Lean-verified T8"
T9,Prime residue classes and reciprocity lock,"for dual-prime p=N>3, q=C>3: p≡1 mod8 iff q≡1 mod12; p≡5 mod8 iff q≡7 mod12; (p/q)=(q/p)=(2/p)=(-1/q)=chi_12(q)",INDEPENDENT_EXACT,NOT_YET_LEAN_FORMALIZED,POSSIBLE_NEW_COMBINATION_NOT_ESTABLISHED,"quadratic reciprocity and supplementary laws combined with simultaneous representation by x^2+y^2 and x^2-xy+y^2","IrelandRosen1990; Lemmermeyer2000; Serre1973; Cox2013","the exact lock couples two classical norm-form prime values sharing one coefficient pair",MEDIUM,"We record an exact reciprocity lock for the paired channel primes; it is derived from classical reciprocity and shared-coordinate constraints. No historical novelty claim is made.","first known reciprocity law; novel theorem; all such prime pairs are classified globally"
T10,Channel-oriented four mixed phases and order-12 orbit,"M_{p,q}={x mod pq: x^2+1=0 mod p and x^2+x+1=0 mod q}={r,r^5,r^7,r^11}; ord_H(r)=12; H=91 gives 4 oriented roots versus 8 full fused roots",INDEPENDENT_EXACT_AFTER_SCOPE_REPAIR,LEAN_F1_MAIN,CLASSICAL_COMPOSITION,"roots of Phi_4 and Phi_3 over finite fields; local orders 4 and 3; CRT; unit action of (Z/12Z)^×","Washington1997; LidlNiederreiter1997; StacksCRT; Apostol1970","the explicitly oriented mixed locus and phase/orbit vocabulary; preserved H=91 negative control",HIGH,"On the channel-oriented mixed locus only, the four CRT combinations form the stated order-12 unit orbit; the full fused root set may be larger.","the four phases are all roots of F modulo pq; full fused-root completeness; novel cyclotomic orbit theorem"
T11,Sixth-power phase-blind channel readout,"for x in M_{p,q}, x^6=-1 mod p and x^6=1 mod q; p=gcd(H,x^6+1), q=gcd(H,x^6-1)",INDEPENDENT_EXACT_STATEMENT_EXPOSED,LEAN_F1_MAIN,CLASSICAL_DIRECT_COROLLARY,"local orders 4 and 3 plus CRT/gcd factor isolation","Washington1997; LidlNiederreiter1997; StacksCRT","phase-blind channel readout from the oriented locus",HIGH,"The sixth power forgets the four oriented phases while retaining the two channel signs, yielding the stated gcd readout.","new exponentiation algorithm; complete phase recovery; theorem for all roots of F"
T12,Local prime-direction classification,"for prime l>3 primitive modulo l: l|N implies l≡1 or5 mod12; l|C implies l≡1 or7 mod12; thus 5 only N, 7 only C, 11 neither, 1 may occur in either",INDEPENDENT_EXACT,NOT_YET_LEAN_FORMALIZED,CLASSICAL_DIRECT_COROLLARY,"splitting/residue criteria for -1 in Gaussian and -3 in Eisenstein settings","IrelandRosen1990; Cox2013; Lemmermeyer2000; Serre1973","directional interpretation as two Prime Fusion channels",HIGH,"The local direction classes are the standard quadratic-residue/splitting restrictions for the two norm forms, expressed in channel language.","new prime-splitting law; novel mod-12 classification"
